央视频道,#genre#
CCTV1,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8$LR•IPV6『线路37』
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$LR•IPV6『线路38』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225643/index.m3u8$LR•IPV6『线路1』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225619/2/index.m3u8$LR•IPV6『线路2』
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225643/2/index.m3u8$LR•IPV6『线路3』
CCTV2,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$LR•IPV6『线路4』
CCTV2,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$LR•IPV6『线路5』
CCTV2,http://182.92.109.190:1668/migu720/migu720.php?id=cctv2$LR•IPV4『线路6』
CCTV2,http://kxrj.site:64325/86/mg.php?id=cctv2$LR•IPV4『线路7』
CCTV2,http://dd.ddzb.fun/php/migu.php?id=cctv2$LR•IPV4『线路8』
CCTV2,http://123.10.78.208:808/hls/2/index.m3u8$LR•IPV4『线路9』
CCTV2,http://58.19.244.92:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路10』
CCTV2,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路11』
CCTV2,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路12』
CCTV2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路13』
CCTV2,http://183.185.105.197:8082/rtp/226.0.2.154:9144$LR•IPV4『线路14』
CCTV2,http://118.249.23.16:4022/udp/239.76.246.152:1234$LR•IPV4『线路15』
CCTV2,http://118.249.23.16:4022/udp/239.76.253.152:9000$LR•IPV4『线路16』
CCTV2,http://171.213.196.134:8088/udp/239.93.1.23:6000$LR•IPV4『线路17』
CCTV2,http://171.213.196.134:8088/udp/239.93.0.149:5140$LR•IPV4『线路18』
CCTV2,http://171.213.196.134:8088/udp/239.93.1.69:5140$LR•IPV4『线路19』
CCTV2,http://114.228.152.34:8888/rtp/239.49.8.130:6000$LR•IPV4『线路20』
CCTV2,http://114.228.152.34:8888/rtp/239.49.1.2:6000$LR•IPV4『线路21』
CCTV2,http://180.119.183.89:8800/rtp/239.49.8.130:6000$LR•IPV4『线路22』
CCTV2,http://180.119.183.89:8800/rtp/239.49.1.2:6000$LR•IPV4『线路23』
CCTV2,http://121.227.243.195:7766/rtp/239.49.8.130:6000$LR•IPV4『线路24』
CCTV2,http://121.227.243.195:7766/rtp/239.49.1.2:6000$LR•IPV4『线路25』
CCTV2,http://49.67.96.109:55555/rtp/239.49.8.130:6000$LR•IPV4『线路26』
CCTV2,http://49.67.96.109:55555/rtp/239.49.1.2:6000$LR•IPV4『线路27』
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI$LR•IPV6『线路28』
